Model,Class,Precision,Recall,F1-Score,AUC
CNN_Classification,Temaslı,0.42483660130718953,1.0,0.5963302752293578,0.5536931818181818
CNN_Classification,Bağımsız,0.0,0.0,0.0,0.5135135135135135
CNN_Classification,Rezorpsiyon,0.0,0.0,0.0,0.5214089800893946
YOLOv11_Detection,Temaslı,0.4262295081967213,1.0,0.5977011494252874,0.524104020979021
YOLOv11_Detection,Bağımsız,1.0,0.011904761904761904,0.023529411764705882,0.5070248820248819
YOLOv11_Detection,Rezorpsiyon,0.0,0.0,0.0,0.5202407557903291
densenet_attention,Temaslı,0.9126984126984127,0.8846153846153846,0.8984375,0.9684222027972027
densenet_attention,Bağımsız,0.9012345679012346,0.8690476190476191,0.8848484848484849,0.9577434577434578
densenet_attention,Rezorpsiyon,0.8686868686868687,0.9347826086956522,0.900523560209424,0.9891558309630232
efficientnet_attention,Temaslı,0.8582089552238806,0.8846153846153846,0.8712121212121212,0.930048076923077
efficientnet_attention,Bağımsız,0.8873239436619719,0.75,0.8129032258064516,0.8968790218790219
efficientnet_attention,Rezorpsiyon,0.8217821782178217,0.9021739130434783,0.8601036269430051,0.956801097114994
resnet50_cbam,Temaslı,0.4404332129963899,0.9384615384615385,0.5995085995085995,0.5189903846153846
resnet50_cbam,Bağımsız,0.34615384615384615,0.10714285714285714,0.16363636363636364,0.459030459030459
resnet50_cbam,Rezorpsiyon,0.3333333333333333,0.010869565217391304,0.021052631578947368,0.4555312880942706
resnet50_se,Temaslı,0.9126984126984127,0.8846153846153846,0.8984375,0.9807473776223776
resnet50_se,Bağımsız,0.8444444444444444,0.9047619047619048,0.8735632183908046,0.9823037323037324
resnet50_se,Rezorpsiyon,0.8777777777777778,0.8586956521739131,0.8681318681318682,0.9703626574563186
swin_base,Temaslı,0.9345794392523364,0.7692307692307693,0.8438818565400844,0.9628715034965035
swin_base,Bağımsız,0.8372093023255814,0.8571428571428571,0.8470588235294118,0.961068211068211
swin_base,Rezorpsiyon,0.8053097345132744,0.9891304347826086,0.8878048780487805,0.98407659488013
swin_small,Temaslı,0.9338842975206612,0.8692307692307693,0.900398406374502,0.9852054195804195
swin_small,Bağımsız,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.9867009867009866
swin_small,Rezorpsiyon,0.8865979381443299,0.9347826086956522,0.91005291005291,0.9902732629012596
swin_tiny,Temaslı,0.9083969465648855,0.9153846153846154,0.9118773946360154,0.9672858391608392
swin_tiny,Bağımsız,0.935064935064935,0.8571428571428571,0.8944099378881988,0.978067353067353
swin_tiny,Rezorpsiyon,0.8673469387755102,0.9239130434782609,0.8947368421052632,0.9786926046322633
vit_base_16,Temaslı,0.9262295081967213,0.8692307692307693,0.8968253968253969,0.9814029720279721
vit_base_16,Bağımsız,0.8426966292134831,0.8928571428571429,0.8670520231213873,0.9837516087516086
vit_base_16,Rezorpsiyon,0.9157894736842105,0.9456521739130435,0.93048128342246,0.9935239739943112
vit_base_32,Temaslı,0.8489208633093526,0.9076923076923077,0.8773234200743495,0.9581075174825175
vit_base_32,Bağımsız,0.9041095890410958,0.7857142857142857,0.8407643312101911,0.9285714285714286
vit_base_32,Rezorpsiyon,0.8404255319148937,0.8586956521739131,0.8494623655913979,0.9416649735879723
vit_large_16,Temaslı,0.6237623762376238,0.9692307692307692,0.7590361445783133,0.8963505244755244
vit_large_16,Bağımsız,0.9583333333333334,0.5476190476190477,0.696969696969697,0.8952702702702703
vit_large_16,Rezorpsiyon,0.875,0.532608695652174,0.6621621621621622,0.8711651767574157
