Model,Category,Accuracy,Precision,Recall,F1-Score,AUC,Composite Score,Inference (ms),Size (MB)
swin_small,Attention/Transformer,0.8986928104575164,0.8947061997671182,0.9029250942294421,0.8980574155533233,0.9873932230608885,0.9163549486136577,39.28449418809679,186.30815505981445
vit_base_16,Attention/Transformer,0.8986928104575164,0.8949052036981383,0.9025800286669852,0.898119567789748,0.9862261849246307,0.9161047591074037,7.441871306475471,327.3046989440918
swin_tiny,Attention/Transformer,0.9019607843137255,0.9036029401351101,0.8988135053352444,0.9003413915431592,0.9746819322868184,0.9158801107228115,19.133157979429157,104.9868049621582
densenet_attention,Attention/Transformer,0.8954248366013072,0.8942066164288386,0.8961485374528854,0.8946031816859695,0.9717738305012279,0.9104314005340457,20.08384349299412,42.5620231628418
resnet50_se,Attention/Transformer,0.8823529411764706,0.8783068783068783,0.8826909805170674,0.8800441955075575,0.9778045891274761,0.90023991692709,11.800191760842317,92.3557243347168
swin_base,Attention/Transformer,0.8594771241830066,0.8590328253637307,0.8718346870520784,0.8595818527060922,0.9693387698149483,0.8838530518239713,36.477643679949196,330.9108695983887
vit_base_32,Attention/Transformer,0.8594771241830066,0.8644853280884474,0.8507007485268355,0.8558500389586462,0.9427813065473062,0.8746589092608483,7.778999073053497,333.6240348815918
efficientnet_attention,Attention/Transformer,0.8529411764705882,0.8557716923678914,0.8455964325529542,0.8480729913205259,0.9279093986390309,0.8660583382701981,21.349025707618864,40.331539154052734
vit_large_16,Attention/Transformer,0.7222222222222222,0.8190319031903192,0.6831528375006636,0.7060560012367242,0.8875953238344034,0.7636116575968666,14.05086392670675,1157.0156364440918
YOLOv11_Detection,YOLO,0.42810457516339867,0.4754098360655738,0.33730158730158727,0.20707685372999776,0.5171232195980774,0.39300321437172697,23.4040738710391,15.320221900939941
resnet50_cbam,Attention/Transformer,0.43137254901960786,0.37330679749452306,0.3521579869405957,0.2613991982413035,0.4778507105800381,0.37921744845521366,14.062851862190596,92.35721969604492
CNN_Classification,CNN,0.42483660130718953,0.14161220043572983,0.3333333333333333,0.19877675840978593,0.5295385584736967,0.32561949039194704,84.9559104520511,7.563194274902344
