Model,Accuracy (%),Precision (%),Recall (%),F1 (%),AUC (%),Composite
Ensemble (3 model),96.73,96.80,96.80,96.80,99.71,97.75
swin_small,89.87,89.47,90.29,89.81,98.74,91.64
vit_base_16,89.87,89.49,90.26,89.81,98.62,91.61
swin_tiny,90.20,90.36,89.88,90.03,97.47,91.59
densenet_attention,89.54,89.42,89.61,89.46,97.18,91.04
resnet50_se,88.24,87.83,88.27,88.00,97.78,90.02
swin_base,85.95,85.90,87.18,85.96,96.93,88.39
vit_base_32,85.95,86.45,85.07,85.59,94.28,87.47
efficientnet_attention,85.29,85.58,84.56,84.81,92.79,86.61
vit_large_16,72.22,81.90,68.32,70.61,88.76,76.36
YOLOv11_Detection,42.81,47.54,33.73,20.71,51.71,39.30
resnet50_cbam,43.14,37.33,35.22,26.14,47.79,37.92
