Model,Composite Score,Inference Time (ms),Efficiency Score
vit_base_16,0.9161047591074037,7.441871306475471,12.310139767000058
vit_base_32,0.8746589092608483,7.778999073053497,11.243848997111627
resnet50_se,0.90023991692709,11.800191760842317,7.629027859652592
vit_large_16,0.7636116575968666,14.05086392670675,5.434624245029197
swin_tiny,0.9158801107228115,19.133157979429157,4.786873717906431
densenet_attention,0.9104314005340457,20.08384349299412,4.533153232605268
efficientnet_attention,0.8660583382701981,21.349025707618864,4.0566644592175765
resnet50_cbam,0.37921744845521366,14.062851862190596,2.696589939020678
swin_base,0.8838530518239713,36.477643679949196,2.4229993021994516
swin_small,0.9163549486136577,39.28449418809679,2.3326123132096064
YOLOv11_Detection,0.39300321437172697,23.4040738710391,1.6792085708550122
CNN_Classification,0.32561949039194704,84.9559104520511,0.3832805612456191
