epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2317,2.98847,6.30781,2.14772,0,0,0,0,2.76354,6.5855,2.34458,0.00030009,0.00030009,0.00030009
2,44.1824,2.85982,6.85857,2.01187,0,0,0,0,2.43785,6.48212,1.93097,0.000584054,0.000584054,0.000584054
3,64.7252,2.69269,5.9223,1.79071,0,0,0,0,2.04779,6.22914,1.64243,0.000836894,0.000836894,0.000836894
4,85.4506,2.40455,7.09325,1.56381,0.00206,0.33333,0.01518,0.0055,2.46376,7.42876,1.56812,0.00105861,0.00105861,0.00105861
5,102.774,2.67826,6.96828,1.60554,0.00206,0.33333,0.01518,0.0055,2.46376,7.42876,1.56812,0.00114606,0.00114606,0.00114606
6,124.463,2.41896,5.94165,1.48458,0.68386,0.05556,0.02413,0.00779,2.38484,6.40083,1.38124,0.00107532,0.00107532,0.00107532
7,144.254,2.18681,6.15864,1.33712,0.75523,0.05556,0.04904,0.0201,2.1406,6.11911,1.39966,0.00100459,0.00100459,0.00100459
8,163.781,2.2128,6.31962,1.42276,0.77471,0.11111,0.0863,0.03689,2.13111,5.93859,1.55442,0.000933851,0.000933851,0.000933851
9,183.343,2.20427,5.59815,1.43001,0.77471,0.11111,0.0863,0.03689,2.13111,5.93859,1.55442,0.000863116,0.000863116,0.000863116
10,204.57,2.14927,4.77149,1.3806,0.74313,0.05556,0.07637,0.04715,2.11929,6.00067,1.62259,0.00079238,0.00079238,0.00079238
11,229.945,2.12259,4.9424,1.405,0.74577,0.05556,0.08009,0.02255,2.13726,5.31887,1.66544,0.000721645,0.000721645,0.000721645
12,254.666,2.03812,4.69294,1.44237,0.74577,0.05556,0.08009,0.02255,2.13726,5.31887,1.66544,0.000650909,0.000650909,0.000650909
13,281.772,2.13274,4.61574,1.48016,0.79357,0.10397,0.10364,0.05879,2.08196,5.43715,1.69896,0.000580174,0.000580174,0.000580174
14,309.178,2.01732,4.33703,1.42647,0.9754,0.05556,0.13553,0.0637,2.13541,5.01996,1.60795,0.000509438,0.000509438,0.000509438
15,336.25,1.94327,4.30222,1.38091,0.9754,0.05556,0.13553,0.0637,2.13541,5.01996,1.60795,0.000438703,0.000438703,0.000438703
16,363.971,2.07107,4.3324,1.40669,0.75471,0.11111,0.16018,0.06948,2.21454,4.82286,1.59221,0.000367967,0.000367967,0.000367967
17,391.434,1.87292,4.25442,1.36956,0.99603,0.16667,0.23897,0.08292,2.16406,4.75798,1.51406,0.000297232,0.000297232,0.000297232
18,418.155,1.78271,4.09947,1.25144,0.99603,0.16667,0.23897,0.08292,2.16406,4.75798,1.51406,0.000226497,0.000226497,0.000226497
19,445.422,1.92462,4.03355,1.31956,0.98913,0.16667,0.24219,0.08086,2.09661,4.65009,1.47207,0.000155761,0.000155761,0.000155761
20,472.943,1.92025,3.88674,1.34076,0.87894,0.11111,0.14372,0.05588,2.04885,4.76461,1.46593,8.50255e-05,8.50255e-05,8.50255e-05
